city_name,city_number,cloudiness,country,date,humidity,lat,lon,max_temp,win_peed
Matara,1235846,86,LK,1613163357,89,5.9485,80.5353,296.12,1.29
Mengyin,1800675,1,CN,1613163357,93,35.7069,117.9264,279.2,1.59
Sidi Ali,2487130,24,DZ,1613163145,97,36.0998,0.4206,285.54,4.02
Sungai Penuh,1625929,100,ID,1613163357,94,-2.0833,101.3833,291.63,1.38
Darhan,2031964,0,MN,1613163357,81,49.4867,105.9228,249.41,1.09
Oranjestad,3577154,20,AW,1613163358,61,12.524,-70.027,302.15,11.83
Rishikesh,1258128,21,IN,1613163358,51,30.1167,78.3167,288.27,1.98
Henties Bay,3356832,73,NA,1613163358,86,-22.116,14.2845,294.26,0.89
Petra,246008,74,JO,1613163358,81,30.3222,35.4793,281.84,1.77
Tsimmerbude,485660,40,RU,1613163131,85,54.675,20.1347,270.93,1.64
Kérouané,2419622,5,GN,1613163359,17,9.2667,-9.0167,298.53,1.22
Ha Tinh,1581047,68,VN,1613163251,86,18.3333,105.9,288.38,1.16
Totness,3382867,93,SR,1613163359,77,5.8833,-56.3167,299.73,6.39
Bongandanga,218229,20,CD,1613163359,35,1.5,21.05,298.41,0.56
Sol'-Iletsk,491019,92,RU,1613163359,96,51.1631,54.9918,270.03,4.6
Millington,4641998,90,US,1613163359,93,35.3415,-89.8973,270.37,5.14
Tabou,2281120,79,CI,1613163196,88,4.423,-7.3528,299.47,3.34
Udachny,2014624,100,RU,1613163360,78,66.4167,112.4,242.49,0.78
Abnūb,362973,0,EG,1613163360,67,27.2696,31.1511,287.15,4.12
Maun,933366,20,BW,1613163120,100,-19.9833,23.4167,294.15,1.54
Lüderitz,3355672,2,NA,1613162912,79,-26.6481,15.1594,292.35,4.1
Lata,2738381,100,PT,1613163126,91,40.1629,-8.3327,285.93,1.34
Umluj,100926,0,SA,1613163361,59,25.0213,37.2685,297.88,2.61
Plettenberg Bay,964712,70,ZA,1613163361,92,-34.0527,23.3716,295.35,1.94
Peterhead,2640351,75,GB,1613163361,100,57.5058,-1.7981,274.26,9.77
Santa María del Oro,3984078,0,MX,1613163361,24,25.9333,-105.3667,292.19,2.41
